ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2017,"2017",0,"Total",60455,14662.000000000002,"Census Tract 1108, Alachua County, FL","14000US12001110800"
2017,"2017",0,"Total",26027,3357,"Census Tract 15.17, Alachua County, FL","14000US12001001517"
2017,"2017",0,"Total",16686,4727,"Census Tract 2, Alachua County, FL","14000US12001000200"
2017,"2017",0,"Total",20896,3594,"Census Tract 15.19, Alachua County, FL","14000US12001001519"
2017,"2017",0,"Total",16487,6947,"Census Tract 15.16, Alachua County, FL","14000US12001001516"
2017,"2017",0,"Total",31702,4101,"Census Tract 3.01, Alachua County, FL","14000US12001000301"
2017,"2017",0,"Total",42765,8370,"Census Tract 22.20, Alachua County, FL","14000US12001002220"
2017,"2017",0,"Total",17102,3021,"Census Tract 15.15, Alachua County, FL","14000US12001001515"
2017,"2017",0,"Total",16792,7601,"Census Tract 15.20, Alachua County, FL","14000US12001001520"
2017,"2017",0,"Total",27175,4794,"Census Tract 3.02, Alachua County, FL","14000US12001000302"
2017,"2017",0,"Total",40421,5837,"Census Tract 22.19, Alachua County, FL","14000US12001002219"
2017,"2017",0,"Total",23523,4453,"Census Tract 15.14, Alachua County, FL","14000US12001001514"
2017,"2017",0,"Total",31875,8849,"Census Tract 4, Alachua County, FL","14000US12001000400"
2017,"2017",0,"Total",24236,4171,"Census Tract 15.21, Alachua County, FL","14000US12001001521"
2017,"2017",0,"Total",47571,12895,"Census Tract 14, Alachua County, FL","14000US12001001400"
2017,"2017",0,"Total",34320,10898,"Census Tract 5, Alachua County, FL","14000US12001000500"
2017,"2017",0,"Total",29688,9649,"Census Tract 22.18, Alachua County, FL","14000US12001002218"
2017,"2017",0,"Total",31480,8048,"Census Tract 16.03, Alachua County, FL","14000US12001001603"
2017,"2017",0,"Total",40292,14761,"Census Tract 12.03, Alachua County, FL","14000US12001001203"
2017,"2017",0,"Total",28094,5303,"Census Tract 6, Alachua County, FL","14000US12001000600"
2017,"2017",0,"Total",31545,7064,"Census Tract 22.17, Alachua County, FL","14000US12001002217"
2017,"2017",0,"Total",56657,7611,"Census Tract 12.02, Alachua County, FL","14000US12001001202"
2017,"2017",0,"Total",32500,10098,"Census Tract 7, Alachua County, FL","14000US12001000700"
2017,"2017",0,"Total",32515,8964,"Census Tract 16.04, Alachua County, FL","14000US12001001604"
2017,"2017",0,"Total",70884,10781,"Census Tract 12.01, Alachua County, FL","14000US12001001201"
2017,"2017",0,"Total",18952,5952,"Census Tract 8.06, Alachua County, FL","14000US12001000806"
2017,"2017",0,"Total",81842,10790,"Census Tract 22.04, Alachua County, FL","14000US12001002204"
2017,"2017",0,"Total",42389,16287.999999999998,"Census Tract 17.01, Alachua County, FL","14000US12001001701"
2017,"2017",0,"Total",74866,9963,"Census Tract 11, Alachua County, FL","14000US12001001100"
2017,"2017",0,"Total",31227,4046,"Census Tract 8.08, Alachua County, FL","14000US12001000808"
2017,"2017",0,"Total",24179,6871,"Census Tract 19.02, Alachua County, FL","14000US12001001902"
2017,"2017",0,"Total",41009,11642,"Census Tract 10, Alachua County, FL","14000US12001001000"
2017,"2017",0,"Total",36200,7266,"Census Tract 8.09, Alachua County, FL","14000US12001000809"
2017,"2017",0,"Total",77578,8799,"Census Tract 17.02, Alachua County, FL","14000US12001001702"
2017,"2017",0,"Total",21806,16272.000000000002,"Census Tract 9.02, Alachua County, FL","14000US12001000902"
2017,"2017",0,"Total",20389,1973.0000000000002,"Census Tract 9.01, Alachua County, FL","14000US12001000901"
2017,"2017",0,"Total",63662,7205,"Census Tract 18.11, Alachua County, FL","14000US12001001811"
2016,"2016",0,"Total",26122,5163,"Census Tract 6, Alachua County, FL","14000US12001000600"
2016,"2016",0,"Total",19264,6251,"Census Tract 2, Alachua County, FL","14000US12001000200"
2016,"2016",0,"Total",20109,2529,"Census Tract 9.01, Alachua County, FL","14000US12001000901"
2016,"2016",0,"Total",26588,5704,"Census Tract 19.02, Alachua County, FL","14000US12001001902"
2016,"2016",0,"Total",40585,15174,"Census Tract 10, Alachua County, FL","14000US12001001000"
2016,"2016",0,"Total",31146,5313,"Census Tract 8.09, Alachua County, FL","14000US12001000809"
2016,"2016",0,"Total",69784,16566,"Census Tract 17.02, Alachua County, FL","14000US12001001702"
2016,"2016",0,"Total",72390,9775,"Census Tract 11, Alachua County, FL","14000US12001001100"
2016,"2016",0,"Total",31277,5361,"Census Tract 8.08, Alachua County, FL","14000US12001000808"
2016,"2016",0,"Total",81263,6881,"Census Tract 22.04, Alachua County, FL","14000US12001002204"
2016,"2016",0,"Total",49384,11161,"Census Tract 17.01, Alachua County, FL","14000US12001001701"
2016,"2016",0,"Total",64700,11546,"Census Tract 12.01, Alachua County, FL","14000US12001001201"
2016,"2016",0,"Total",21007,4744,"Census Tract 8.06, Alachua County, FL","14000US12001000806"
2016,"2016",0,"Total",28547,9422,"Census Tract 22.17, Alachua County, FL","14000US12001002217"
2016,"2016",0,"Total",56435,10534,"Census Tract 12.02, Alachua County, FL","14000US12001001202"
2016,"2016",0,"Total",31094,6265,"Census Tract 7, Alachua County, FL","14000US12001000700"
2016,"2016",0,"Total",28682,8600,"Census Tract 16.04, Alachua County, FL","14000US12001001604"
2016,"2016",0,"Total",40711,8760,"Census Tract 12.03, Alachua County, FL","14000US12001001203"
2016,"2016",0,"Total",33182,13725.000000000002,"Census Tract 9.02, Alachua County, FL","14000US12001000902"
2016,"2016",0,"Total",25060,5243,"Census Tract 22.18, Alachua County, FL","14000US12001002218"
2016,"2016",0,"Total",39688,15390.000000000002,"Census Tract 16.03, Alachua County, FL","14000US12001001603"
2016,"2016",0,"Total",40595,11296,"Census Tract 14, Alachua County, FL","14000US12001001400"
2016,"2016",0,"Total",31016,6574,"Census Tract 5, Alachua County, FL","14000US12001000500"
2016,"2016",0,"Total",38447,6644,"Census Tract 22.19, Alachua County, FL","14000US12001002219"
2016,"2016",0,"Total",24299,4648,"Census Tract 15.21, Alachua County, FL","14000US12001001521"
2016,"2016",0,"Total",20139,5610,"Census Tract 15.14, Alachua County, FL","14000US12001001514"
2016,"2016",0,"Total",26674,3995,"Census Tract 4, Alachua County, FL","14000US12001000400"
2016,"2016",0,"Total",25119,3944.9999999999995,"Census Tract 3.02, Alachua County, FL","14000US12001000302"
2016,"2016",0,"Total",16902,3468,"Census Tract 15.15, Alachua County, FL","14000US12001001515"
2016,"2016",0,"Total",46429,9270,"Census Tract 22.20, Alachua County, FL","14000US12001002220"
2016,"2016",0,"Total",18603,3689,"Census Tract 15.20, Alachua County, FL","14000US12001001520"
2016,"2016",0,"Total",18041,7089,"Census Tract 15.16, Alachua County, FL","14000US12001001516"
2016,"2016",0,"Total",29367,4922,"Census Tract 3.01, Alachua County, FL","14000US12001000301"
2016,"2016",0,"Total",58636,13715.000000000002,"Census Tract 1108, Alachua County, FL","14000US12001110800"
2016,"2016",0,"Total",21250,4406,"Census Tract 15.19, Alachua County, FL","14000US12001001519"
2016,"2016",0,"Total",21094,7657,"Census Tract 15.17, Alachua County, FL","14000US12001001517"
2016,"2016",0,"Total",62769,9677,"Census Tract 18.11, Alachua County, FL","14000US12001001811"
2015,"2015",0,"Total",30607,7611,"Census Tract 7, Alachua County, FL","14000US12001000700"
2015,"2015",0,"Total",38607,3275,"Census Tract 17.01, Alachua County, FL","14000US12001001701"
2015,"2015",0,"Total",37810,5062,"Census Tract 22.19, Alachua County, FL","14000US12001002219"
2015,"2015",0,"Total",62500,11545,"Census Tract 12.02, Alachua County, FL","14000US12001001202"
2015,"2015",0,"Total",24122,6143,"Census Tract 19.02, Alachua County, FL","14000US12001001902"
2015,"2015",0,"Total",19495,2072,"Census Tract 9.01, Alachua County, FL","14000US12001000901"
2015,"2015",0,"Total",30727,5319,"Census Tract 5, Alachua County, FL","14000US12001000500"
2015,"2015",0,"Total",28774,8060,"Census Tract 16.04, Alachua County, FL","14000US12001001604"
2015,"2015",0,"Total",39353,8250,"Census Tract 12.03, Alachua County, FL","14000US12001001203"
2015,"2015",0,"Total",17778,6837,"Census Tract 15.14, Alachua County, FL","14000US12001001514"
2015,"2015",0,"Total",25875,10242,"Census Tract 22.17, Alachua County, FL","14000US12001002217"
2015,"2015",0,"Total",21310,8840,"Census Tract 8.06, Alachua County, FL","14000US12001000806"
2015,"2015",0,"Total",33000,20875,"Census Tract 9.02, Alachua County, FL","14000US12001000902"
2015,"2015",0,"Total",35100,7650.000000000001,"Census Tract 14, Alachua County, FL","14000US12001001400"
2015,"2015",0,"Total",46250,12050,"Census Tract 22.20, Alachua County, FL","14000US12001002220"
2015,"2015",0,"Total",65083,11443,"Census Tract 1108, Alachua County, FL","14000US12001110800"
